"SCHEMA_NAME","DIGEST","DIGEST_TEXT","COUNT_STAR","SUM_TIMER_WAIT","MIN_TIMER_WAIT","AVG_TIMER_WAIT","MAX_TIMER_WAIT","SUM_LOCK_TIME","SUM_ERRORS","SUM_WARNINGS","SUM_ROWS_AFFECTED","SUM_ROWS_SENT","SUM_ROWS_EXAMINED","SUM_CREATED_TMP_DISK_TABLES","SUM_CREATED_TMP_TABLES","SUM_SELECT_FULL_JOIN","SUM_SELECT_FULL_RANGE_JOIN","SUM_SELECT_RANGE","SUM_SELECT_RANGE_CHECK","SUM_SELECT_SCAN","SUM_SORT_MERGE_PASSES","SUM_SORT_RANGE","SUM_SORT_ROWS","SUM_SORT_SCAN","SUM_NO_INDEX_USED","SUM_NO_GOOD_INDEX_USED","FIRST_SEEN","LAST_SEEN"
diamante_edi,"3d3bed0921932959ad79f3301c421430",SELECT SQL_NO_CACHE * FROM `TR_ActividadRequisito` ,9,1406372000,100402000,156263000,539080000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,a1dcc305f5ad2a4e05fdc431d5fb0b98,SHOW CREATE TABLE `TR_Acuerdo` ,9,575190000,58851000,63910000,73655000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,f5903e59a3cb1c31c8d7ab40e33318a0,SHOW FIELDS FROM `TR_Acuerdo` ,18,4763886000,239916000,264660000,288853000,0,0,0,0,126,126,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"179099eccf2c2e20435d86e81c2ca619",SELECT SQL_NO_CACHE * FROM `TR_Acuerdo` ,9,1053053000,96663000,117005000,231363000,0,0,9,0,27,27,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"434d5a98e2815005dcbbe877dce85e00",SHOW CREATE TABLE `TR_Alumnos` ,9,570889000,59500000,63432000,79105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"5b098b7e1429885a96eefc743f81c574",SHOW FIELDS FROM `TR_Alumnos` ,18,4485165000,219865000,249175000,280771000,0,0,0,0,54,54,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,fa6d1b1f6727f8502da1827afd6abfc0,SELECT SQL_NO_CACHE * FROM `TR_Alumnos` ,9,5553163000,558365000,617018000,888596000,0,0,9,0,15118,15118,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,e8a766cb6e2db35f4a3667d9d9734037,SHOW CREATE TABLE `TR_AplicantesPracticas` ,9,572450000,61882000,63605000,66572000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"09e2bcfe45cacd8cc218fa9bbbd1ec76",SHOW FIELDS FROM `TR_AplicantesPracticas` ,18,4592562000,231835000,255142000,290274000,0,0,0,0,90,90,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"0ddedd0e2afb7f30ed56a021ed866806",SELECT SQL_NO_CACHE * FROM `TR_AplicantesPracticas` ,9,610572000,63644000,67841000,74227000,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"49ea48252721a685c31fc9b549add452",SHOW CREATE TABLE `TR_ArchivosEstandar` ,9,782179000,80158000,86908000,94107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"1be2f914e627fb38281c7595c3dbfbf0",SHOW FIELDS FROM `TR_ArchivosEstandar` ,18,3809754000,188829000,211653000,240844000,0,0,0,0,36,36,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"4c8951a0627ab9c4c1a4a47e25648932",SELECT SQL_NO_CACHE * FROM `TR_ArchivosEstandar` ,9,1543631000,99886000,171514000,674101000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,c9a667a2fe9128f3939279968304fa86,SHOW CREATE TABLE `TR_ArchivosGrupo` ,9,737851000,76827000,81983000,85157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"05b35afb1fffa655acfcd3f5480d7718",SHOW FIELDS FROM `TR_ArchivosGrupo` ,18,3865408000,187630000,214744000,242382000,0,0,0,0,36,36,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
